u","v","w","p","s","d","vtkValidPointMask","arc_length","Points0","Points:1","Points:2"
0,0,0,0,0,0,1,7.3015,3.5896,-4.2706,0.39
0,0,0,0,0,0,1,7.5823,3.7992,-4.0837,0.39
0,0,0,0,0,0,1,7.8632,4.0088,-3.8968,0.39
0,0,0,0,0,0,1,8.144,4.2184,-3.7099,0.39
0,0,0,0,0,0,1,8.4248,4.428,-3.523,0.39
0,0,0,0,0,0,1,8.7056,4.6376,-3.3361,0.39
0,0,0,0,0,0,1,8.9865,4.8472,-3.1492,0.39
0,0,0,0,0,0,1,9.2673,5.0568,-2.9623,0.39
0,0,0,0,0,0,1,9.5481,5.2664,-2.7754,0.39
0,0,0,0,0,0,1,9.8289,5.476,-2.5885,0.39
0,0,0,0,0,0,1,10.11,5.6856,-2.4016,0.39
0,0,0,0,0,0,1,10.391,5.8952,-2.2147,0.39
0,0,0,0,0,0,1,10.671,6.1048,-2.0278,0.39
0,0,0,0,0,0,1,10.952,6.3144,-1.8409,0.39
0,0,0,0,0,0,1,11.233,6.524,-1.654,0.39
0,0,0,0,0,0,1,11.514,6.7336,-1.4671,0.39
0,0,0,0,0,0,1,11.795,6.9432,-1.2802,0.39
0,0,0,0,0,0,1,12.076,7.1528,-1.0933,0.39
0,0,0,0,0,0,1,12.356,7.3624,-0.9064,0.39
0,0,0,0,0,0,1,12.637,7.572,-0.7195,0.39
0,0,0,0,0,0,1,12.918,7.7816,-0.5326,0.39
0,0,0,0,0,0,1,13.199,7.9912,-0.3457,0.39
0,0,0,0,0,0,1,13.48,8.2008,-0.1588,0.39
0,0,0,0,0,0,1,13.761,8.4104,0.0281,0.39
0,0,0,0,0,0,1,14.041,8.62,0.215,0.39
0,0,0,0,0,0,1,14.322,8.8296,0.4019,0.39
0,0,0,0,0,0,1,14.603,9.0392,0.5888,0.39
0,0,0,0,0,0,1,14.884,9.2488,0.7757,0.39
0,0,0,0,0,0,1,15.165,9.4584,0.9626,0.39
0,0,0,0,0,0,1,15.445,9.668,1.1495,0.39
0,0,0,0,0,0,1,15.726,9.8776,1.3364,0.39
0,0,0,0,0,0,1,16.007,10.087,1.5233,0.39
0,0,0,0,0,0,1,16.288,10.297,1.7102,0.39
0,0,0,0,0,0,1,16.569,10.506,1.8971,0.39
0,0,0,0,0,0,1,16.85,10.716,2.084,0.39
0,0,0,0,0,0,1,17.13,10.926,2.2709,0.39
0,0,0,0,0,0,1,17.411,11.135,2.4578,0.39
0,0,0,0,0,0,1,17.692,11.345,2.6447,0.39
0,0,0,0,0,0,1,17.973,11.554,2.8316,0.39
0,0,0,0,0,0,1,18.254,11.764,3.0185,0.39
0,0,0,0,0,0,1,18.535,11.974,3.2054,0.39
0,0,0,0,0,0,1,18.815,12.183,3.3923,0.39
0,0,0,0,0,0,1,19.096,12.393,3.5792,0.39
0,0,0,0,0,0,1,19.377,12.602,3.7661,0.39
0,0,0,0,0,0,1,19.658,12.812,3.953,0.39
0,0,0,0,0,0,1,19.939,13.022,4.1399,0.39
0,0,0,0,0,0,1,20.22,13.231,4.3268,0.39
0,0,0,0,0,0,1,20.5,13.441,4.5137,0.39
0,0,0,0,0,0,1,20.781,13.65,4.7006,0.39
0,0,0,0,0,0,1,21.062,13.86,4.8875,0.39
0,0,0,0,0,0,1,21.343,14.07,5.0744,0.39
0,0,0,0,0,0,1,21.624,14.279,5.2613,0.39
0,0,0,0,0,0,1,21.905,14.489,5.4482,0.39
0,0,0,0,0,0,1,22.185,14.698,5.6351,0.39
