u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0.18,0.18,1,0
0,0,0,0,0,0,1,0.36,0.36,1,0
0.00035705,-1.9814e-12,0.0005318,0.056508,1.5273e-05,0,1,0.54,0.54,1,0
0,0,0,0,0,0,1,0.72,0.72,1,0
0,0,0,0,0,0,1,0.9,0.9,1,0
0,0,0,0,0,0,1,1.08,1.08,1,0
0,0,0,0,0,0,1,1.26,1.26,1,0
0,0,0,0,0,0,1,1.44,1.44,1,0
0,0,0,0,0,0,1,1.62,1.62,1,0
0,0,0,0,0,0,1,1.8,1.8,1,0
0,0,0,0,0,0,1,1.98,1.98,1,0
0,0,0,0,0,0,1,2.16,2.16,1,0
0,0,0,0,0,0,1,2.34,2.34,1,0
0,0,0,0,0,0,1,2.52,2.52,1,0
0,0,0,0,0,0,1,2.7,2.7,1,0
0,0,0,0,0,0,1,2.88,2.88,1,0
0,0,0,0,0,0,1,3.06,3.06,1,0
0,0,0,0,0,0,1,3.24,3.24,1,0
0,0,0,0,0,0,1,3.42,3.42,1,0
0,0,0,0,0,0,1,3.6,3.6,1,0
0,0,0,0,0,0,1,3.78,3.78,1,0
0,0,0,0,0,0,1,3.96,3.96,1,0
0,0,0,0,0,0,1,4.14,4.14,1,0
0,0,0,0,0,0,1,4.32,4.32,1,0
3.7642e-09,-3.0546e-12,4.5462e-09,1.232e-06,1.27e-26,0,1,4.5,4.5,1,0
0,0,0,0,0,0,1,4.68,4.68,1,0
0,0,0,0,0,0,1,4.86,4.86,1,0
0,0,0,0,0,0,1,5.04,5.04,1,0
0,0,0,0,0,0,1,5.22,5.22,1,0
0,0,0,0,0,0,1,5.4,5.4,1,0
0,0,0,0,0,0,1,5.58,5.58,1,0
0,0,0,0,0,0,1,5.76,5.76,1,0
0,0,0,0,0,0,1,5.94,5.94,1,0
0,0,0,0,0,0,1,6.12,6.12,1,0
0,0,0,0,0,0,1,6.3,6.3,1,0
0,0,0,0,0,0,1,6.48,6.48,1,0
0,0,0,0,0,0,1,6.66,6.66,1,0
0,0,0,0,0,0,1,6.84,6.84,1,0
0,0,0,0,0,0,1,7.02,7.02,1,0
0,0,0,0,0,0,1,7.2,7.2,1,0
0,0,0,0,0,0,1,7.38,7.38,1,0
0,0,0,0,0,0,1,7.56,7.56,1,0
0,0,0,0,0,0,1,7.74,7.74,1,0
0,0,0,0,0,0,1,7.92,7.92,1,0
0,0,0,0,0,0,1,8.1,8.1,1,0
0,0,0,0,0,0,1,8.28,8.28,1,0
0,0,0,0,0,0,1,8.46,8.46,1,0
0,0,0,0,0,0,1,8.64,8.64,1,0
0,0,0,0,0,0,1,8.82,8.82,1,0
0,0,0,0,0,0,1,9,9,1,0
0,0,0,0,0,0,1,9.18,9.18,1,0
0,0,0,0,0,0,1,9.36,9.36,1,0
0,0,0,0,0,0,1,9.54,9.54,1,0
0,0,0,0,0,0,1,9.72,9.72,1,0
0,0,0,0,0,0,1,9.9,9.9,1,0
0,0,0,0,0,0,1,10.08,10.08,1,0
0,0,0,0,0,0,1,10.26,10.26,1,0
0,0,0,0,0,0,1,10.44,10.44,1,0
0,0,0,0,0,0,1,10.62,10.62,1,0
0,0,0,0,0,0,1,10.8,10.8,1,0
0,0,0,0,0,0,1,10.98,10.98,1,0
0,0,0,0,0,0,1,11.16,11.16,1,0
0,0,0,0,0,0,1,11.34,11.34,1,0
0,0,0,0,0,0,1,11.52,11.52,1,0
0,0,0,0,0,0,1,11.7,11.7,1,0
0,0,0,0,0,0,1,11.88,11.88,1,0
0,0,0,0,0,0,1,12.06,12.06,1,0
0,0,0,0,0,0,1,12.24,12.24,1,0
0,0,0,0,0,0,1,12.42,12.42,1,0
0,0,0,0,0,0,1,12.6,12.6,1,0
0,0,0,0,0,0,1,12.78,12.78,1,0
0,0,0,0,0,0,1,12.96,12.96,1,0
0,0,0,0,0,0,1,13.14,13.14,1,0
0,0,0,0,0,0,1,13.32,13.32,1,0
0,0,0,0,0,0,1,13.5,13.5,1,0
0,0,0,0,0,0,1,13.68,13.68,1,0
0,0,0,0,0,0,1,13.86,13.86,1,0
0,0,0,0,0,0,1,14.04,14.04,1,0
0,0,0,0,0,0,1,14.22,14.22,1,0
0,0,0,0,0,0,1,14.4,14.4,1,0
0,0,0,0,0,0,1,14.58,14.58,1,0
0,0,0,0,0,0,1,14.76,14.76,1,0
0,0,0,0,0,0,1,14.94,14.94,1,0
0,0,0,0,0,0,1,15.12,15.12,1,0
0,0,0,0,0,0,1,15.3,15.3,1,0
0,0,0,0,0,0,1,15.48,15.48,1,0
0,0,0,0,0,0,1,15.66,15.66,1,0
0,0,0,0,0,0,1,15.84,15.84,1,0
0,0,0,0,0,0,1,16.02,16.02,1,0
0,0,0,0,0,0,1,16.2,16.2,1,0
0,0,0,0,0,0,1,16.38,16.38,1,0
0,0,0,0,0,0,1,16.56,16.56,1,0
0,0,0,0,0,0,1,16.74,16.74,1,0
0,0,0,0,0,0,1,16.92,16.92,1,0
0,0,0,0,0,0,1,17.1,17.1,1,0
0,0,0,0,0,0,1,17.28,17.28,1,0
0,0,0,0,0,0,1,17.46,17.46,1,0
0,0,0,0,0,0,1,17.64,17.64,1,0
0,0,0,0,0,0,1,17.82,17.82,1,0
0,0,0,0,0,0,1,18,18,1,0
