u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0.00037563,-0.00044934,4.6641e-05,0.0017361,3.4121e-35,0,1,7.3015,3.5896,-4.2706,0.39
0.0015662,-0.0017189,0.0001714,0.0017321,-8.0835e-35,0,1,7.5823,3.7992,-4.0837,0.39
0.0016234,-0.0015678,0.00019557,0.001716,4.9207e-34,0,1,7.8632,4.0088,-3.8968,0.39
0.0016545,-0.001428,0.00015207,0.0016842,-6.9122e-35,0,1,8.144,4.2184,-3.7099,0.39
0.001638,-0.0013196,0.00011606,0.001641,1.4016e-37,0,1,8.4248,4.428,-3.523,0.39
0.0015723,-0.0012101,0.00011535,0.0015925,6.2543e-37,0,1,8.7056,4.6376,-3.3361,0.39
0.0015328,-0.0011,0.00016274,0.0015367,1.8982e-37,0,1,8.9865,4.8472,-3.1492,0.39
0.0014949,-0.00097023,0.00018211,0.0014719,-3.3893e-37,0,1,9.2673,5.0568,-2.9623,0.39
0.0014196,-0.00083125,0.00015934,0.0013986,1.2854e-38,0,1,9.5481,5.2664,-2.7754,0.39
0.0013438,-0.00070782,0.00014459,0.0013135,-8.4855e-40,0,1,9.8289,5.476,-2.5885,0.39
0.0012448,-0.00059927,0.00013461,0.0012257,4.5841e-41,0,1,10.11,5.6856,-2.4016,0.39
0.0011381,-0.00050469,0.00011817,0.0011389,-5.0707e-43,0,1,10.391,5.8952,-2.2147,0.39
0.001028,-0.000421,0.00010986,0.0010544,7.2886e-45,0,1,10.671,6.1048,-2.0278,0.39
0.00092675,-0.00035344,0.00010161,0.00097235,1.3422e-46,0,1,10.952,6.3144,-1.8409,0.39
0.0008322,-0.00029963,9.0121e-05,0.00089396,-2.6174e-48,0,1,11.233,6.524,-1.654,0.39
0.00074301,-0.00025603,8.0582e-05,0.00082028,1.1529e-50,0,1,11.514,6.7336,-1.4671,0.39
0.00066638,-0.00022163,7.389e-05,0.00075101,3.1771e-53,0,1,11.795,6.9432,-1.2802,0.39
0.0005987,-0.00019665,6.3741e-05,0.00068553,-1.1641e-53,0,1,12.076,7.1528,-1.0933,0.39
0.00053263,-0.00017559,5.645e-05,0.00062519,3.716e-56,0,1,12.356,7.3624,-0.9064,0.39
0.00047298,-0.00015122,5.6561e-05,0.00056903,1.5568e-58,0,1,12.637,7.572,-0.7195,0.39
0.00042481,-0.00012516,5.1742e-05,0.00051603,-8.6505e-61,0,1,12.918,7.7816,-0.5326,0.39
0.00037788,-0.00010285,4.0093e-05,0.00046464,3.4155e-63,0,1,13.199,7.9912,-0.3457,0.39
0.00032975,-8.5465e-05,2.9832e-05,0.0004165,-3.3898e-64,0,1,13.48,8.2008,-0.1588,0.39
0.00028413,-7.2052e-05,2.5962e-05,0.00037307,-7.3667e-67,0,1,13.761,8.4104,0.0281,0.39
0.00024644,-5.8724e-05,2.5848e-05,0.00033382,-1.2052e-68,0,1,14.041,8.62,0.215,0.39
0.00021508,-4.6345e-05,2.6149e-05,0.00029775,6.7407e-70,0,1,14.322,8.8296,0.4019,0.39
0.00018852,-3.7099e-05,2.4544e-05,0.00026454,-7.5125e-72,0,1,14.603,9.0392,0.5888,0.39
0.00016474,-2.9934e-05,2.2906e-05,0.00023398,2.3342e-73,0,1,14.884,9.2488,0.7757,0.39
0.00014347,-2.3821e-05,2.1744e-05,0.00020607,1.7219e-75,0,1,15.165,9.4584,0.9626,0.39
0.00012492,-1.81e-05,1.9784e-05,0.00018065,-3.4135e-78,0,1,15.445,9.668,1.1495,0.39
0.00010823,-1.321e-05,1.7188e-05,0.0001576,-2.2856e-80,0,1,15.726,9.8776,1.3364,0.39
9.2979e-05,-9.4907e-06,1.484e-05,0.00013685,-4.0835e-81,0,1,16.007,10.087,1.5233,0.39
7.9484e-05,-6.603e-06,1.3056e-05,0.0001184,-1.1909e-84,0,1,16.288,10.297,1.7102,0.39
6.7953e-05,-4.2435e-06,1.1514e-05,0.00010209,-2.4274e-87,0,1,16.569,10.506,1.8971,0.39
5.7722e-05,-2.7294e-06,1.0088e-05,8.7705e-05,1.0327e-87,0,1,16.85,10.716,2.084,0.39
4.9007e-05,-1.4909e-06,9.0571e-06,7.5159e-05,-6.5307e-90,0,1,17.13,10.926,2.2709,0.39
4.1763e-05,-4.1948e-07,8.0265e-06,6.4148e-05,9.9468e-91,0,1,17.411,11.135,2.4578,0.39
3.5483e-05,3.9425e-07,6.743e-06,5.4503e-05,2.2147e-92,0,1,17.692,11.345,2.6447,0.39
2.9936e-05,8.9978e-07,5.6065e-06,4.6085e-05,2.7719e-93,0,1,17.973,11.554,2.8316,0.39
2.5252e-05,1.3252e-06,4.6395e-06,3.8785e-05,-1.9349e-95,0,1,18.254,11.764,3.0185,0.39
2.1174e-05,1.5515e-06,3.5485e-06,3.2474e-05,-2.0755e-97,0,1,18.535,11.974,3.2054,0.39
1.7442e-05,1.5016e-06,2.7849e-06,2.7092e-05,-8.2632e-100,0,1,18.815,12.183,3.3923,0.39
1.4349e-05,1.52e-06,2.3859e-06,2.258e-05,3.9757e-100,0,1,19.096,12.393,3.5792,0.39
1.1917e-05,1.5827e-06,2.0497e-06,1.8745e-05,1.5087e-102,0,1,19.377,12.602,3.7661,0.39
9.9144e-06,1.604e-06,1.6184e-06,1.5455e-05,-1.9838e-104,0,1,19.658,12.812,3.953,0.39
