u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,0.857,1,0.0022,1,0,0,1,0
0,0,0,0.85035,1,0.0022,1,0.18,0.18,1,0
0,0,0,0.83043,1,0.0022,1,0.36,0.36,1,0
0,0,0,0.79489,1,0.0022,1,0.54,0.54,1,0
0,0,0,0.7388,1,0.0022,1,0.72,0.72,1,0
0,0,0,0.62849,1.0002,0.0022004,1,0.9,0.9,1,0
0,0,0,0.44409,0.21203,0.00045318,1,1.08,1.08,1,0
0,0,0,0.29568,0.00016823,1.1575e-07,1,1.26,1.26,1,0
0,0,0,0.20991,2.4153e-05,1.6919e-08,1,1.44,1.44,1,0
0,0,0,0.15372,2.5529e-06,1.8206e-09,1,1.62,1.62,1,0
0,0,0,0.1136,2.3859e-07,1.7328e-10,1,1.8,1.8,1,0
0,0,0,0.084623,7.1057e-10,6.0978e-13,1,1.98,1.98,1,0
0,0,0,0.063105,-1.0618e-09,-7.876e-13,1,2.16,2.16,1,0
0,0,0,0.047067,-1.514e-10,-1.1488e-13,1,2.34,2.34,1,0
0,0,0,0.035093,-1.5931e-11,-1.2335e-14,1,2.52,2.52,1,0
0,0,0,0.026151,-1.4834e-12,-1.1715e-15,1,2.7,2.7,1,0
0,0,0,0.019574,-4.2727e-15,-4.0522e-18,1,2.88,2.88,1,0
0,0,0,0.014636,6.5754e-15,5.3125e-18,1,3.06,3.06,1,0
0,0,0,0.010932,9.3383e-16,7.7301e-19,1,3.24,3.24,1,0
0,0,0,0.0081574,9.7908e-17,8.2825e-20,1,3.42,3.42,1,0
0,0,0,0.0060814,9.0836e-18,7.8503e-21,1,3.6,3.6,1,0
0,0,0,0.004553,2.5207e-20,2.6693e-23,1,3.78,3.78,1,0
0,0,0,0.0034047,-4.0097e-20,-3.5518e-23,1,3.96,3.96,1,0
0,0,0,0.0025434,-5.6686e-21,-5.1561e-24,1,4.14,4.14,1,0
0,0,0,0.001898,-5.9184e-22,-5.5132e-25,1,4.32,4.32,1,0
0,0,0,0.0014151,-5.4678e-23,-5.2153e-26,1,4.5,4.5,1,0
0,0,0,0.0010595,-1.4485e-25,-1.7435e-28,1,4.68,4.68,1,0
0,0,0,0.00079233,2.4015e-25,2.3544e-28,1,4.86,4.86,1,0
0,0,0,0.00059192,3.3762e-26,3.4099e-29,1,5.04,5.04,1,0
0,0,0,0.00044176,3.5069e-27,3.6387e-30,1,5.22,5.22,1,0
0,0,0,0.00032939,3.2229e-28,3.4354e-31,1,5.4,5.4,1,0
0,0,0,0.00024665,8.0351e-31,1.1291e-33,1,5.58,5.58,1,0
0,0,0,0.00018449,-1.4067e-30,-1.5474e-33,1,5.76,5.76,1,0
0,0,0,0.00013786,-1.9637e-31,-2.236e-34,1,5.94,5.94,1,0
0,0,0,0.00010292,-2.0262e-32,-2.3811e-35,1,6.12,6.12,1,0
0,0,0,7.6777e-05,-1.8494e-33,-2.2436e-36,1,6.3,6.3,1,0
0,0,0,5.7524e-05,-4.2316e-36,-7.2448e-39,1,6.48,6.48,1,0
0,0,0,4.306e-05,8.005e-36,1.0083e-38,1,6.66,6.66,1,0
0,0,0,3.2209e-05,1.1069e-36,1.4534e-39,1,6.84,6.84,1,0
0,0,0,2.4079e-05,1.1319e-37,1.5445e-40,1,7.02,7.02,1,0
0,0,0,1.7995e-05,1.0233e-38,1.4522e-41,1,7.2,7.2,1,0
0,0,0,1.3514e-05,2.0478e-41,4.6018e-44,1,7.38,7.38,1,0
0,0,0,1.0148e-05,-4.3776e-41,-6.5112e-44,1,7.56,7.56,1,0
0,0,0,7.6224e-06,-5.9708e-42,-9.362e-45,1,7.74,7.74,1,0
0,0,0,5.7298e-06,-6.0242e-43,-9.9259e-46,1,7.92,7.92,1,0
0,0,0,4.3132e-06,-5.3688e-44,-9.3123e-47,1,8.1,8.1,1,0
0,0,0,3.2697e-06,-8.3767e-47,-2.8891e-49,1,8.28,8.28,1,0
0,0,0,2.4855e-06,2.2551e-46,4.1645e-49,1,8.46,8.46,1,0
0,0,0,1.8968e-06,3.0089e-47,5.9714e-50,1,8.64,8.64,1,0
0,0,0,1.4554e-06,2.969e-48,6.3157e-51,1,8.82,8.82,1,0
0,0,0,1.1248e-06,2.581e-49,5.9108e-52,1,9,9,1,0
0,0,0,8.8092e-07,2.0334e-52,1.7927e-54,1,9.18,9.18,1,0
0,0,0,6.9737e-07,-1.0489e-51,-2.636e-54,1,9.36,9.36,1,0
0,0,0,5.5931e-07,-1.3418e-52,-3.7681e-55,1,9.54,9.54,1,0
0,0,0,4.555e-07,-1.2651e-53,-3.9744e-56,1,9.72,9.72,1,0
0,0,0,3.7744e-07,-1.0413e-54,-3.7095e-57,1,9.9,9.9,1,0
0,0,0,3.1956e-07,1.0271e-57,-1.0949e-59,1,10.08,10.08,1,0
0,0,0,2.7569e-07,3.9066e-57,1.649e-59,1,10.26,10.26,1,0
0,0,0,2.4239e-07,4.4464e-58,2.3493e-60,1,10.44,10.44,1,0
0,0,0,2.1704e-07,3.6054e-59,2.4701e-61,1,10.62,10.62,1,0
0,0,0,1.9766e-07,2.3582e-60,2.2983e-62,1,10.8,10.8,1,0
0,0,0,1.8295e-07,-2.2646e-62,6.568e-65,1,10.98,10.98,1,0
0,0,0,1.7148e-07,-5.2678e-63,-1.0179e-64,1,11.16,11.16,1,0
0,0,0,1.6246e-07,5.7456e-65,-1.4443e-65,1,11.34,11.34,1,0
0,0,0,1.5528e-07,8.3263e-65,-1.5131e-66,1,11.52,11.52,1,0
0,0,0,1.4948e-07,1.494e-65,-1.4026e-67,1,11.7,11.7,1,0
0,0,0,1.4475e-07,2.5485e-67,-3.8567e-70,1,11.88,11.88,1,0
0,0,0,1.4076e-07,-1.0354e-67,6.1849e-70,1,12.06,12.06,1,0
0,0,0,1.3733e-07,-2.0502e-68,8.7336e-71,1,12.24,12.24,1,0
0,0,0,1.3432e-07,-2.7053e-69,9.1083e-72,1,12.42,12.42,1,0
0,0,0,1.3162e-07,-3.029e-70,8.405e-73,1,12.6,12.6,1,0
0,0,0,1.2916e-07,-2.3754e-72,2.1961e-75,1,12.78,12.78,1,0
0,0,0,1.2686e-07,1.6075e-72,-3.6863e-75,1,12.96,12.96,1,0
0,0,0,1.2469e-07,2.6943e-73,-5.1737e-76,1,13.14,13.14,1,0
0,0,0,1.226e-07,3.2193e-74,-5.3654e-77,1,13.32,13.32,1,0
0,0,0,1.2057e-07,3.3551e-75,-4.9223e-78,1,13.5,13.5,1,0
0,0,0,1.1858e-07,2.0203e-77,-1.2013e-80,1,13.68,13.68,1,0
0,0,0,1.1661e-07,-1.6729e-77,2.1438e-80,1,13.86,13.86,1,0
0,0,0,1.1466e-07,-2.6641e-78,2.985e-81,1,14.04,14.04,1,0
0,0,0,1.1272e-07,-3.0695e-79,3.0723e-82,1,14.22,14.22,1,0
0,0,0,1.1078e-07,-3.1058e-80,2.7966e-83,1,14.4,14.4,1,0
0,0,0,1.0884e-07,-1.6245e-82,6.1608e-86,1,14.58,14.58,1,0
0,0,0,1.069e-07,1.5053e-82,-1.2063e-85,1,14.76,14.76,1,0
0,0,0,1.0495e-07,2.3376e-83,-1.6612e-86,1,14.94,14.94,1,0
0,0,0,1.0301e-07,2.6423e-84,-1.6917e-87,1,15.12,15.12,1,0
0,0,0,1.0106e-07,2.6301e-85,-1.5225e-88,1,15.3,15.3,1,0
0,0,0,9.9116e-08,1.2574e-87,-2.8267e-91,1,15.48,15.48,1,0
0,0,0,9.7181e-08,-1.254e-87,6.4751e-91,1,15.66,15.66,1,0
0,0,0,9.5259e-08,-1.9178e-88,8.7682e-92,1,15.84,15.84,1,0
0,0,0,9.3355e-08,-2.1418e-89,8.7814e-93,1,16.02,16.02,1,0
0,0,0,9.1481e-08,-2.1094e-90,7.761e-94,1,16.2,16.2,1,0
0,0,0,8.9657e-08,-9.4616e-93,1.0038e-96,1,16.38,16.38,1,0
0,0,0,8.7903e-08,9.9487e-93,-3.224e-96,1,16.56,16.56,1,0
0,0,0,8.6247e-08,1.5056e-93,-4.2407e-97,1,16.74,16.74,1,0
0,0,0,8.4715e-08,1.6674e-94,-4.1209e-98,1,16.92,16.92,1,0
0,0,0,8.3339e-08,1.6298e-95,-3.5181e-99,1,17.1,17.1,1,0
0,0,0,8.216e-08,6.9729e-98,-7.0083e-103,1,17.28,17.28,1,0
0,0,0,8.12e-08,-7.6258e-98,1.3934e-101,1,17.46,17.46,1,0
0,0,0,8.0486e-08,-1.1451e-98,1.7194e-102,1,17.64,17.64,1,0
0,0,0,8.0046e-08,-1.2606e-99,1.5525e-103,1,17.82,17.82,1,0
0,0,0,7.9897e-08,-2.4492e-100,2.4128e-104,1,18,18,1,0
