u,v,p,s,d,points0,points1,points2
0,0,-0.37173,-0.00044149,0,0,0,0
0,0,0.85278,1,0.0006,0.1,0,0
0.0014896,-0.00073091,0.75247,1,0,0.1,0.1,0
0,-0.00071926,0.75446,1,0,0,0.1,0
0,0,0.84683,1,0.0006,0.2,0,0
0.0030394,-0.00076924,0.74652,1,0,0.2,0.1,0
0,0,0.83665,1,0.0006,0.3,0,0
0.0046731,-0.000835,0.73629,1,0,0.3,0.1,0
0,0,0.82193,1,0.0006,0.4,0,0
0.0065249,-0.00094066,0.72157,1,0,0.4,0.1,0
0,0,0.802,1,0.0006,0.5,0,0
0.0085559,-0.0010927,0.70149,1,0,0.5,0.1,0
0,0,0.77617,1,0.0006,0.6,0,0
0.011133,-0.0013332,0.67567,1,0,0.6,0.1,0
0,0,0.74268,1,0.00060001,0.7,0,0
0.014042,-0.001714,0.64188,1,0,0.7,0.1,0
0,0,0.7015,0.99995,0.00059997,0.8,0,0
0.018526,-0.0022624,0.599,0.99999,0,0.8,0.1,0
0,0,0.63126,1.0002,0.00060013,0.9,0,0
0.023585,-0.0053886,0.54517,1,0,0.9,0.1,0
0,0,0.5593,0.99655,0.00059867,1,0,0
0.025463,-0.010046,0.4766,0.99933,0,1,0.1,0
0,0,0.41434,0.0041217,1.5303e-06,1.1,0,0
0.025614,0.009838,0.39684,0.0067348,0,1.1,0.1,0
0,0,0.34166,-8.426e-05,-1.0436e-07,1.2,0,0
0.024039,0.005304,0.32755,-0.00017851,0,1.2,0.1,0
0,0,0.26983,2.2068e-05,2.775e-08,1.3,0,0
0.019223,0.0021251,0.27233,4.5807e-05,0,1.3,0.1,0
0,0,0.22651,-5.7718e-06,-7.3772e-09,1.4,0,0
0.015034,0.0015675,0.22724,-1.1792e-05,0,1.4,0.1,0
0,0,0.19004,1.508e-06,1.9608e-09,1.5,0,0
0.012439,0.0011708,0.19047,3.0426e-06,0,1.5,0.1,0
0,0,0.16033,-3.9363e-07,-5.2113e-10,1.6,0,0
0.010217,0.00091109,0.16077,-7.8622e-07,0,1.6,0.1,0
0,0,0.13554,1.0266e-07,1.3848e-10,1.7,0,0
0.0085839,0.00073469,0.13581,2.0339e-07,0,1.7,0.1,0
0,0,0.11483,-2.675e-08,-3.6797e-11,1.8,0,0
0.0071867,0.00059937,0.11509,-5.2658e-08,0,1.8,0.1,0
0,0,0.097382,6.9646e-09,9.7768e-12,1.9,0,0
0.006076,0.00049701,0.097578,1.3641e-08,0,1.9,0.1,0
0,0,0.082671,-1.8117e-09,-2.5975e-12,2,0,0
0.005131,0.00041427,0.082846,-3.5349e-09,0,2,0.1,0
0,0,0.070217,4.7089e-10,6.9004e-13,2.1,0,0
0.0043515,0.00034797,0.070358,9.1622e-10,0,2.1,0.1,0
0,0,0.059669,-1.2228e-10,-1.833e-13,2.2,0,0
0.0036897,0.00029306,0.059792,-2.3749e-10,0,2.2,0.1,0
0,0,0.05072,3.1726e-11,4.8691e-14,2.3,0,0
0.0031344,0.00024773,0.050821,6.1556e-11,0,2.3,0.1,0
0,0,0.043123,-8.2233e-12,-1.2933e-14,2.4,0,0
0.0026629,0.00020972,0.043211,-1.5952e-11,0,2.4,0.1,0
0,0,0.03667,2.1294e-12,3.4351e-15,2.5,0,0
0.0022642,0.00017786,0.036743,4.1328e-12,0,2.5,0.1,0
0,0,0.031186,-5.5081e-13,-9.1232e-16,2.6,0,0
0.0019254,0.00015097,0.031249,-1.0703e-12,0,2.6,0.1,0
0,0,0.026524,1.4233e-13,2.4229e-16,2.7,0,0
0.001638,0.00012826,0.026578,2.7705e-13,0,2.7,0.1,0
0,0,0.022561,-3.6733e-14,-6.4345e-17,2.8,0,0
0.0013936,0.00010901,0.022607,-7.1676e-14,0,2.8,0.1,0
0,0,0.019191,9.4689e-15,1.7087e-17,2.9,0,0
0.0011859,9.2692e-05,0.019229,1.8531e-14,0,2.9,0.1,0
0,0,0.016324,-2.4376e-15,-4.5374e-18,3,0,0
0.0010092,7.8837e-05,0.016357,-4.7876e-15,0,3,0.1,0
0,0,0.013886,6.2665e-16,1.2049e-18,3.1,0,0
0.00085887,6.7068e-05,0.013915,1.2359e-15,0,3.1,0.1,0
0,0,0.011813,-1.6085e-16,-3.1992e-19,3.2,0,0
0.00073099,5.7064e-05,0.011837,-3.1874e-16,0,3.2,0.1,0
0,0,0.010049,4.1222e-17,8.4943e-20,3.3,0,0
0.00062217,4.8557e-05,0.010069,8.2121e-17,0,3.3,0.1,0
0,0,0.0085485,-1.0545e-17,-2.2553e-20,3.4,0,0
0.00052957,4.1322e-05,0.0085661,-2.1134e-17,0,3.4,0.1,0
0,0,0.0072722,2.6925e-18,5.9876e-21,3.5,0,0
0.00045076,3.5167e-05,0.0072872,5.4325e-18,0,3.5,0.1,0
0,0,0.0061865,-6.8603e-19,-1.5896e-21,3.6,0,0
0.00038368,2.9929e-05,0.0061992,-1.3945e-18,0,3.6,0.1,0
0,0,0.0052629,1.744e-19,4.22e-22,3.7,0,0
