u,v,w,p,s,d,r,vtkValidPointMask,arc_length,Points0,Points1,Points2
-1.9587e-15,2.2917e-15,-6.4767e-15,-0.16172,0.99998,0,0,1,0,0,1,0
1.8062e-19,2.3349e-05,-0.00078243,-0.16562,0.99998,0,0,1,0.018,0.018,1,0
3.763e-20,4.6698e-05,-0.0015649,-0.16952,0.99998,0,0,1,0.036,0.036,1,0
-1.731e-19,7.0047e-05,-0.0023473,-0.17343,0.99998,0,0,1,0.054,0.054,1,0
9.0311e-20,9.3396e-05,-0.0031297,-0.17733,0.99998,0,0,1,0.072,0.072,1,0
1.3547e-19,0.00011675,-0.0039122,-0.18123,0.99998,0,0,1,0.09,0.09,1,0
-6.0207e-20,0.00014009,-0.0046946,-0.18513,0.99998,0,0,1,0.108,0.108,1,0
1.6557e-19,0.00016344,-0.005477,-0.18904,0.99999,0,0,1,0.126,0.126,1,0
-6.0207e-20,0.00018679,-0.0062595,-0.19294,0.99999,0,0,1,0.144,0.144,1,0
3.0104e-20,0.00021014,-0.0070419,-0.19684,0.99999,0,0,1,0.162,0.162,1,0
6.0207e-20,0.00023349,-0.0078243,-0.20074,0.99999,0,0,1,0.18,0.18,1,0
-3.0104e-20,0.00025684,-0.0086068,-0.20465,0.99999,0,0,1,0.198,0.198,1,0
0,0.00028019,-0.0093892,-0.20855,0.99999,0,0,1,0.216,0.216,1,0
2.1073e-19,0.00030354,-0.010172,-0.21245,1,0,0,1,0.234,0.234,1,0
9.0311e-20,0.00032689,-0.010954,-0.21635,1,0,0,1,0.252,0.252,1,0
0,0.00035024,-0.011736,-0.22026,1,0,0,1,0.27,0.27,1,0
1.8062e-19,0.00037359,-0.012519,-0.22416,1,0,0,1,0.288,0.288,1,0
0,0.00039693,-0.013301,-0.22806,1,0,0,1,0.306,0.306,1,0
1.2041e-19,0.00042028,-0.014084,-0.23196,1,0,0,1,0.324,0.324,1,0
6.0207e-20,0.00044363,-0.014866,-0.23587,1,0,0,1,0.342,0.342,1,0
1.8062e-19,0.00046698,-0.015649,-0.23977,1,0,0,1,0.36,0.36,1,0
6.0207e-20,0.00049033,-0.016431,-0.24367,1,0,0,1,0.378,0.378,1,0
1.2041e-19,0.00051368,-0.017214,-0.24757,1,0,0,1,0.396,0.396,1,0
1.2041e-19,0.00053703,-0.017996,-0.25148,1,0,0,1,0.414,0.414,1,0
1.8062e-19,0.00056038,-0.018778,-0.25538,1,0,0,1,0.432,0.432,1,0
1.8062e-19,0.00058373,-0.019561,-0.25928,1,0,0,1,0.45,0.45,1,0
1.8062e-19,0.00060708,-0.020343,-0.26318,1,0,0,1,0.468,0.468,1,0
1.2041e-19,0.00063043,-0.021126,-0.26709,1,0,0,1,0.486,0.486,1,0
0,0.00064839,-0.02181,-0.27032,1,0,0,1,0.504,0.504,1,0
0,0.00061934,-0.02164,-0.26771,1,0,0,1,0.522,0.522,1,0
0,0.0005903,-0.02147,-0.26511,1,0,0,1,0.54,0.54,1,0
0,0.00056126,-0.0213,-0.26251,1,0,0,1,0.558,0.558,1,0
0,0.00053221,-0.021131,-0.2599,0.99999,0,0,1,0.576,0.576,1,0
0,0.00050317,-0.020961,-0.2573,0.99998,0,0,1,0.594,0.594,1,0
0,0.00047412,-0.020791,-0.25469,0.99998,0,0,1,0.612,0.612,1,0
0,0.00044508,-0.020621,-0.25209,0.99997,0,0,1,0.63,0.63,1,0
0,0.00041604,-0.020451,-0.24948,0.99997,0,0,1,0.648,0.648,1,0
0,0.00038699,-0.020281,-0.24688,0.99996,0,0,1,0.666,0.666,1,0
0,0.00035795,-0.020111,-0.24427,0.99995,0,0,1,0.684,0.684,1,0
0,0.0003289,-0.019941,-0.24167,0.99995,0,0,1,0.702,0.702,1,0
0,0.00029986,-0.019771,-0.23906,0.99994,0,0,1,0.72,0.72,1,0
0,0.00027081,-0.019601,-0.23646,0.99993,0,0,1,0.738,0.738,1,0
0,0.00024177,-0.019431,-0.23385,0.99993,0,0,1,0.756,0.756,1,0
0,0.00021273,-0.019262,-0.23125,0.99992,0,0,1,0.774,0.774,1,0
0,0.00018368,-0.019092,-0.22864,0.99991,0,0,1,0.792,0.792,1,0
0,0.00015464,-0.018922,-0.22604,0.99991,0,0,1,0.81,0.81,1,0
0,0.00012559,-0.018752,-0.22343,0.9999,0,0,1,0.828,0.828,1,0
0,9.655e-05,-0.018582,-0.22083,0.9999,0,0,1,0.846,0.846,1,0
0,6.7506e-05,-0.018412,-0.21822,0.99989,0,0,1,0.864,0.864,1,0
0,3.8461e-05,-0.018242,-0.21562,0.99988,0,0,1,0.882,0.882,1,0
0,9.4174e-06,-0.018072,-0.21301,0.99988,0,0,1,0.9,0.9,1,0
0,-1.9627e-05,-0.017902,-0.21041,0.99987,0,0,1,0.918,0.918,1,0
0,-4.8671e-05,-0.017732,-0.20781,0.99986,0,0,1,0.936,0.936,1,0
0,-7.7715e-05,-0.017562,-0.2052,0.99986,0,0,1,0.954,0.954,1,0
0,-0.00010676,-0.017392,-0.2026,0.99985,0,0,1,0.972,0.972,1,0
0,-0.0001358,-0.017223,-0.19999,0.99984,0,0,1,0.99,0.99,1,0
0,-0.00016049,-0.01678,-0.19548,0.97902,0,0,1,1.008,1.008,1,0
0,-0.00017973,-0.015996,-0.1886,0.93216,0,0,1,1.026,1.026,1,0
0,-0.00019897,-0.015212,-0.18172,0.88531,0,0,1,1.044,1.044,1,0
0,-0.00021822,-0.014428,-0.17483,0.83845,0,0,1,1.062,1.062,1,0
0,-0.00023746,-0.013644,-0.16795,0.7916,0,0,1,1.08,1.08,1,0
0,-0.0002567,-0.012861,-0.16106,0.74474,0,0,1,1.098,1.098,1,0
0,-0.00027594,-0.012077,-0.15418,0.69789,0,0,1,1.116,1.116,1,0
0,-0.00029518,-0.011293,-0.14729,0.65103,0,0,1,1.134,1.134,1,0
0,-0.00031443,-0.010509,-0.14041,0.60418,0,0,1,1.152,1.152,1,0
0,-0.00033367,-0.0097253,-0.13353,0.55732,0,0,1,1.17,1.17,1,0
0,-0.00035291,-0.0089415,-0.12664,0.51047,0,0,1,1.188,1.188,1,0
0,-0.00033124,-0.008129,-0.11862,0.46364,0,0,1,1.206,1.206,1,0
0,-0.00029724,-0.0073082,-0.11027,0.41682,0,0,1,1.224,1.224,1,0
0,-0.00026324,-0.0064873,-0.10192,0.37,0,0,1,1.242,1.242,1,0
0,-0.00022923,-0.0056664,-0.093572,0.32319,0,0,1,1.26,1.26,1,0
0,-0.00019523,-0.0048455,-0.085222,0.27637,0,0,1,1.278,1.278,1,0
0,-0.00016122,-0.0040246,-0.076871,0.22955,0,0,1,1.296,1.296,1,0
0,-0.00012722,-0.0032038,-0.068521,0.18273,0,0,1,1.314,1.314,1,0
0,-9.3216e-05,-0.0023829,-0.060171,0.13591,0,0,1,1.332,1.332,1,0
0,-5.9212e-05,-0.001562,-0.05182,0.08909,0,0,1,1.35,1.35,1,0
0,-2.5208e-05,-0.00074113,-0.04347,0.042271,0,0,1,1.368,1.368,1,0
0,5.4014e-06,-1.3341e-06,-0.03588,0.0001288,0,0,1,1.386,1.386,1,0
-3.5566e-20,3.4167e-06,2.1371e-06,-0.034817,0.00012409,0,0,1,1.404,1.404,1,0
0,1.432e-06,5.6083e-06,-0.033755,0.00011937,0,0,1,1.422,1.422,1,0
-3.5566e-20,-5.5266e-07,9.0795e-06,-0.032693,0.00011466,0,0,1,1.44,1.44,1,0
0,-2.5373e-06,1.2551e-05,-0.031631,0.00010994,0,0,1,1.458,1.458,1,0
-3.5566e-20,-4.522e-06,1.6022e-05,-0.030569,0.00010522,0,0,1,1.476,1.476,1,0
-3.5566e-20,-6.5067e-06,1.9493e-05,-0.029507,0.00010051,0,0,1,1.494,1.494,1,0
0,-8.4914e-06,2.2964e-05,-0.028445,9.579e-05,0,0,1,1.512,1.512,1,0
0,-1.0476e-05,2.6435e-05,-0.027383,9.1073e-05,0,0,1,1.53,1.53,1,0
-3.5566e-20,-1.2461e-05,2.9906e-05,-0.026321,8.6357e-05,0,0,1,1.548,1.548,1,0
-3.5566e-20,-1.4445e-05,3.3378e-05,-0.025258,8.1641e-05,0,0,1,1.566,1.566,1,0
0,-1.643e-05,3.6849e-05,-0.024196,7.6924e-05,0,0,1,1.584,1.584,1,0
0,-1.8415e-05,4.032e-05,-0.023134,7.2208e-05,0,0,1,1.602,1.602,1,0
0,-2.04e-05,4.3791e-05,-0.022072,6.7492e-05,0,0,1,1.62,1.62,1,0
0,-2.2384e-05,4.7262e-05,-0.02101,6.2775e-05,0,0,1,1.638,1.638,1,0
-1.7783e-20,-2.4369e-05,5.0734e-05,-0.019948,5.8059e-05,0,0,1,1.656,1.656,1,0
-1.7783e-20,-2.6354e-05,5.4205e-05,-0.018886,5.3343e-05,0,0,1,1.674,1.674,1,0
0,-2.8338e-05,5.7676e-05,-0.017824,4.8626e-05,0,0,1,1.692,1.692,1,0
1.7783e-20,-3.0323e-05,6.1147e-05,-0.016762,4.391e-05,0,0,1,1.71,1.71,1,0
-1.7783e-20,-3.2308e-05,6.4618e-05,-0.0157,3.9193e-05,0,0,1,1.728,1.728,1,0
0,-3.4292e-05,6.8089e-05,-0.014637,3.4477e-05,0,0,1,1.746,1.746,1,0
-3.5566e-20,-3.6277e-05,7.1561e-05,-0.013575,2.9761e-05,0,0,1,1.764,1.764,1,0
-6.2241e-20,-3.8262e-05,7.5032e-05,-0.012513,2.5044e-05,0,0,1,1.782,1.782,1,0
-2.6675e-20,-4.0246e-05,7.8503e-05,-0.011451,2.0328e-05,0,0,1,1.8,1.8,1,0
1.7783e-20,-4.2231e-05,8.1974e-05,-0.010389,1.5612e-05,0,0,1,1.818,1.818,1,0
-8.8916e-21,-4.4216e-05,8.5445e-05,-0.0093269,1.0895e-05,0,0,1,1.836,1.836,1,0
4.4458e-21,-4.6201e-05,8.8916e-05,-0.0082648,6.1789e-06,0,0,1,1.854,1.854,1,0
2.8898e-20,-4.8185e-05,9.2388e-05,-0.0072027,1.4625e-06,0,0,1,1.872,1.872,1,0
2.5563e-20,-5.017e-05,9.5859e-05,-0.0061405,-3.2538e-06,0,0,1,1.89,1.89,1,0
-2.0904e-20,-5.1716e-05,9.6199e-05,-0.0053868,-5.1024e-06,0,0,1,1.908,1.908,1,0
-3.0178e-21,-5.0386e-05,9.1755e-05,-0.0052612,-4.669e-06,0,0,1,1.926,1.926,1,0
-1.8401e-20,-4.9055e-05,8.7311e-05,-0.0051356,-4.2356e-06,0,0,1,1.944,1.944,1,0
-3.901e-21,-4.7724e-05,8.2867e-05,-0.00501,-3.8022e-06,0,0,1,1.962,1.962,1,0
-1.4794e-20,-4.6394e-05,7.8424e-05,-0.0048845,-3.3688e-06,0,0,1,1.98,1.98,1,0
2.5025e-21,-4.5063e-05,7.398e-05,-0.0047589,-2.9354e-06,0,0,1,1.998,1.998,1,0
-1.0857e-20,-4.3733e-05,6.9536e-05,-0.0046333,-2.502e-06,0,0,1,2.016,2.016,1,0
1.3617e-21,-4.2402e-05,6.5092e-05,-0.0045078,-2.0686e-06,0,0,1,2.034,2.034,1,0
-1.2623e-20,-4.1072e-05,6.0648e-05,-0.0043822,-1.6352e-06,0,0,1,2.052,2.052,1,0
-1.3322e-20,-3.9741e-05,5.6204e-05,-0.0042566,-1.2018e-06,0,0,1,2.07,2.07,1,0
-9.4213e-21,-3.841e-05,5.176e-05,-0.0041311,-7.6845e-07,0,0,1,2.088,2.088,1,0
-1.6027e-20,-3.708e-05,4.7317e-05,-0.0040055,-3.3505e-07,0,0,1,2.106,2.106,1,0
-3.165e-21,-3.5749e-05,4.2873e-05,-0.0038799,9.8345e-08,0,0,1,2.124,2.124,1,0
-3.6802e-22,-3.4419e-05,3.8429e-05,-0.0037544,5.3174e-07,0,0,1,2.142,2.142,1,0
-6.3484e-21,-3.3088e-05,3.3985e-05,-0.0036288,9.6514e-07,0,0,1,2.16,2.16,1,0
-5.5387e-21,-3.1757e-05,2.9541e-05,-0.0035032,1.3985e-06,0,0,1,2.178,2.178,1,0
-2.1e-21,-3.0427e-05,2.5097e-05,-0.0033777,1.8319e-06,0,0,1,2.196,2.196,1,0
6.7118e-21,-2.9096e-05,2.0654e-05,-0.0032521,2.2653e-06,0,0,1,2.214,2.214,1,0
-8.6945e-21,-2.7766e-05,1.621e-05,-0.0031265,2.6987e-06,0,0,1,2.232,2.232,1,0
