u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
3.7522e-20,1.0868e-18,-1.4398e-19,4.9761e-05,-1.4654e-30,-2.9308e-34,1,0,13.5,0,0
0,0,0,4.979e-05,-1.1468e-30,-2.2935e-34,1,0.02,13.5,0.02,0
0,0,0,4.9818e-05,-8.2809e-31,-1.6562e-34,1,0.04,13.5,0.04,0
0,0,0,4.9847e-05,-5.0943e-31,-1.0189e-34,1,0.06,13.5,0.06,0
0,0,0,4.9875e-05,-1.9077e-31,-3.8153e-35,1,0.08,13.5,0.08,0
0,0,0,4.9904e-05,1.279e-31,2.5579e-35,1,0.1,13.5,0.1,0
0,0,0,4.9932e-05,4.4656e-31,8.9312e-35,1,0.12,13.5,0.12,0
0,0,0,4.9961e-05,7.6522e-31,1.5304e-34,1,0.14,13.5,0.14,0
0,0,0,4.9989e-05,1.0839e-30,2.1678e-34,1,0.16,13.5,0.16,0
0,0,0,5.0018e-05,1.4025e-30,2.8051e-34,1,0.18,13.5,0.18,0
0,0,0,5.0046e-05,1.7212e-30,3.4424e-34,1,0.2,13.5,0.2,0
0,0,0,5.0051e-05,1.8217e-30,3.6433e-34,1,0.22,13.5,0.22,0
0,0,0,5.0044e-05,1.8141e-30,3.6282e-34,1,0.24,13.5,0.24,0
0,0,0,5.0038e-05,1.8065e-30,3.613e-34,1,0.26,13.5,0.26,0
0,0,0,5.0031e-05,1.799e-30,3.5979e-34,1,0.28,13.5,0.28,0
0,0,0,5.004e-05,1.275e-30,2.5499e-34,1,0.3,13.5,0.3,0
0,0,0,5.0049e-05,7.0817e-31,1.4163e-34,1,0.32,13.5,0.32,0
0,0,0,5.0059e-05,1.4137e-31,2.8275e-35,1,0.34,13.5,0.34,0
0,0,0,5.0069e-05,-4.2542e-31,-8.5084e-35,1,0.36,13.5,0.36,0
0,0,0,5.0079e-05,-9.9222e-31,-1.9844e-34,1,0.38,13.5,0.38,0
0,0,0,5.0089e-05,-1.559e-30,-3.118e-34,1,0.4,13.5,0.4,0
0,0,0,5.0099e-05,-2.1258e-30,-4.2516e-34,1,0.42,13.5,0.42,0
0,0,0,5.0109e-05,-2.6926e-30,-5.3852e-34,1,0.44,13.5,0.44,0
0,0,0,5.0119e-05,-3.2594e-30,-6.5188e-34,1,0.46,13.5,0.46,0
0,0,0,5.0129e-05,-3.5913e-30,-7.1825e-34,1,0.48,13.5,0.48,0
0,0,0,5.0124e-05,-2.8753e-30,-5.7507e-34,1,0.5,13.5,0.5,0
0,0,0,5.0119e-05,-2.1594e-30,-4.3188e-34,1,0.52,13.5,0.52,0
0,0,0,5.0115e-05,-1.4435e-30,-2.8869e-34,1,0.54,13.5,0.54,0
0,0,0,5.011e-05,-7.2755e-31,-1.4551e-34,1,0.56,13.5,0.56,0
0,0,0,5.0105e-05,-1.1618e-32,-2.3236e-36,1,0.58,13.5,0.58,0
0,0,0,5.01e-05,7.0431e-31,1.4086e-34,1,0.6,13.5,0.6,0
0,0,0,5.0095e-05,1.4202e-30,2.8405e-34,1,0.62,13.5,0.62,0
0,0,0,5.0081e-05,1.456e-30,2.912e-34,1,0.64,13.5,0.64,0
0,0,0,5.0059e-05,8.811e-31,1.7622e-34,1,0.66,13.5,0.66,0
0,0,0,5.0037e-05,3.062e-31,6.124e-35,1,0.68,13.5,0.68,0
0,0,0,5.0014e-05,-2.7573e-31,-5.5145e-35,1,0.7,13.5,0.7,0
0,0,0,4.9991e-05,-2.5909e-31,-5.1817e-35,1,0.72,13.5,0.72,0
0,0,0,4.9968e-05,-2.4245e-31,-4.849e-35,1,0.74,13.5,0.74,0
0,0,0,4.9945e-05,-2.2581e-31,-4.5162e-35,1,0.76,13.5,0.76,0
0,0,0,4.9922e-05,-2.0917e-31,-4.1835e-35,1,0.78,13.5,0.78,0
0,0,0,4.9899e-05,-1.9253e-31,-3.8507e-35,1,0.8,13.5,0.8,0
0,0,0,4.9876e-05,-1.759e-31,-3.5179e-35,1,0.82,13.5,0.82,0
0,0,0,4.9853e-05,-1.5926e-31,-3.1852e-35,1,0.84,13.5,0.84,0
0,0,0,4.9829e-05,-1.4262e-31,-2.8524e-35,1,0.86,13.5,0.86,0
0,0,0,4.9806e-05,-1.2598e-31,-2.5196e-35,1,0.88,13.5,0.88,0
