"u","v","w","p","s","d","r","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4971e-22,-6.8833e-12,-4.3206e-12,9.966e-11,-4.714e-22,-3.825e-25,-3.1443e-26,1,0,13.5,0,0
7.2289e-16,-6.8475e-12,-4.246e-12,1.003e-10,-4.6869e-22,-3.8117e-25,-3.1329e-26,1,0.002,13.5,0.002,0
1.4458e-15,-6.8118e-12,-4.1714e-12,1.0093e-10,-4.6598e-22,-3.7984e-25,-3.1215e-26,1,0.004,13.5,0.004,0
2.1687e-15,-6.7761e-12,-4.0968e-12,1.0157e-10,-4.6327e-22,-3.7851e-25,-3.1102e-26,1,0.006,13.5,0.006,0
2.8915e-15,-6.7404e-12,-4.0222e-12,1.0221e-10,-4.6056e-22,-3.7718e-25,-3.0988e-26,1,0.008,13.5,0.008,0
3.6144e-15,-6.7047e-12,-3.9476e-12,1.0285e-10,-4.5784e-22,-3.7585e-25,-3.0874e-26,1,0.01,13.5,0.01,0
4.3373e-15,-6.6689e-12,-3.873e-12,1.0348e-10,-4.5513e-22,-3.7452e-25,-3.0761e-26,1,0.012,13.5,0.012,0
-8.5008e-29,-6.6474e-12,-3.8187e-12,1.0406e-10,-4.5228e-22,-3.723e-25,-3.0604e-26,1,0.014,13.5,0.014,0
-1.7087e-28,-6.6137e-12,-3.747e-12,1.0469e-10,-4.4955e-22,-3.7084e-25,-3.0484e-26,1,0.016,13.5,0.016,0
-2.3165e-28,-6.58e-12,-3.6753e-12,1.0531e-10,-4.4681e-22,-3.6938e-25,-3.0364e-26,1,0.018,13.5,0.018,0
-9.6484e-29,-6.5463e-12,-3.6036e-12,1.0594e-10,-4.4408e-22,-3.6793e-25,-3.0244e-26,1,0.02,13.5,0.02,0
-1.9212e-28,-6.5126e-12,-3.5319e-12,1.0657e-10,-4.4135e-22,-3.6647e-25,-3.0124e-26,1,0.022,13.5,0.022,0
-2.6778e-28,-6.4789e-12,-3.4602e-12,1.072e-10,-4.3862e-22,-3.6501e-25,-3.0004e-26,1,0.024,13.5,0.024,0
-2.3802e-29,-6.4452e-12,-3.3885e-12,1.0783e-10,-4.3589e-22,-3.6355e-25,-2.9885e-26,1,0.026,13.5,0.026,0
-9.9034e-29,-6.4115e-12,-3.3169e-12,1.0846e-10,-4.3315e-22,-3.6209e-25,-2.9765e-26,1,0.028,13.5,0.028,0
-1.8022e-28,-6.3778e-12,-3.2452e-12,1.0909e-10,-4.3042e-22,-3.6064e-25,-2.9645e-26,1,0.03,13.5,0.03,0
-6.6731e-29,-6.3441e-12,-3.1735e-12,1.0971e-10,-4.2769e-22,-3.5918e-25,-2.9525e-26,1,0.032,13.5,0.032,0
-1.4196e-28,-6.3104e-12,-3.1018e-12,1.1034e-10,-4.2496e-22,-3.5772e-25,-2.9405e-26,1,0.034,13.5,0.034,0
-7.9057e-29,-6.2767e-12,-3.0301e-12,1.1097e-10,-4.2222e-22,-3.5626e-25,-2.9285e-26,1,0.036,13.5,0.036,0
-1.6152e-28,-6.243e-12,-2.9584e-12,1.116e-10,-4.1949e-22,-3.548e-25,-2.9165e-26,1,0.038,13.5,0.038,0
-2.5757e-28,-6.2093e-12,-2.8867e-12,1.1223e-10,-4.1676e-22,-3.5335e-25,-2.9046e-26,1,0.04,13.5,0.04,0
-1.3601e-29,-6.1756e-12,-2.815e-12,1.1286e-10,-4.1403e-22,-3.5189e-25,-2.8926e-26,1,0.042,13.5,0.042,0
-2.0487e-28,-6.1419e-12,-2.7433e-12,1.1348e-10,-4.113e-22,-3.5043e-25,-2.8806e-26,1,0.044,13.5,0.044,0
-1.7852e-28,-6.1082e-12,-2.6716e-12,1.1411e-10,-4.0856e-22,-3.4897e-25,-2.8686e-26,1,0.046,13.5,0.046,0
-4.2504e-29,-6.0745e-12,-2.5999e-12,1.1474e-10,-4.0583e-22,-3.4751e-25,-2.8566e-26,1,0.048,13.5,0.048,0
-1.3856e-28,-6.0408e-12,-2.5282e-12,1.1537e-10,-4.031e-22,-3.4606e-25,-2.8446e-26,1,0.05,13.5,0.05,0
1.0201e-29,-6.0071e-12,-2.4565e-12,1.16e-10,-4.0037e-22,-3.446e-25,-2.8327e-26,1,0.052,13.5,0.052,0
